2D reactive Euler 
Nx, Ny      = 3500, 400
domain x    = [-50, 300]
domain y    = [0, 40]
final_time  = 30
OpenMP      = enabled, threads=32
scheme      = HLLC + MUSCL/MC + SSP-RK3 + Strang reaction
step=   4460 t=  5.854143 dt=1.256976e-03 pmax=49.3911 shock_x=37.7805
step=   4480 t=  5.879290 dt=1.257696e-03 pmax=49.2055 shock_x=37.9458
step=   4500 t=  5.904444 dt=1.257395e-03 pmax=49.1803 shock_x=38.1083
step=   4520 t=  5.929585 dt=1.256098e-03 pmax=48.5047 shock_x=38.2685
step=   4540 t=  5.954697 dt=1.255287e-03 pmax=48.5381 shock_x=38.4312
step=   4560 t=  5.979797 dt=1.254943e-03 pmax=48.3569 shock_x=38.5943
step=   4580 t=  6.003763 dt=1.254356e-03 pmax=47.6767 shock_x=38.7503
step=   4600 t=  6.028868 dt=1.256669e-03 pmax=47.9984 shock_x=38.9090
step=   4620 t=  6.054026 dt=1.258936e-03 pmax=47.6547 shock_x=39.0738
step=   4640 t=  6.079229 dt=1.261451e-03 pmax=46.9996 shock_x=39.2373
step=   4660 t=  6.104495 dt=1.265073e-03 pmax=47.2514 shock_x=39.3983
step=   4680 t=  6.129831 dt=1.268148e-03 pmax=46.9870 shock_x=39.5630
step=   4700 t=  6.155224 dt=1.271000e-03 pmax=46.5292 shock_x=39.7248
step=   4720 t=  6.180678 dt=1.274462e-03 pmax=46.9252 shock_x=39.8923
step=   4740 t=  6.206205 dt=1.278247e-03 pmax=47.1911 shock_x=40.0538
step=   4760 t=  6.231813 dt=1.282156e-03 pmax=47.3323 shock_x=40.2212
step=   4780 t=  6.256420 dt=1.284074e-03 pmax=47.3724 shock_x=40.3790
step=   4800 t=  6.282117 dt=1.285610e-03 pmax=47.3768 shock_x=40.5425
step=   4820 t=  6.307847 dt=1.287316e-03 pmax=47.3197 shock_x=40.7105
step=   4840 t=  6.333614 dt=1.289449e-03 pmax=47.2327 shock_x=40.8790
step=   4860 t=  6.359439 dt=1.293053e-03 pmax=47.1048 shock_x=41.0428
step=   4880 t=  6.385341 dt=1.297206e-03 pmax=46.9742 shock_x=41.2070
step=   4900 t=  6.411331 dt=1.301553e-03 pmax=46.7693 shock_x=41.3748
step=   4920 t=  6.437416 dt=1.306604e-03 pmax=46.4773 shock_x=41.5465
step=   4940 t=  6.463608 dt=1.312630e-03 pmax=46.1579 shock_x=41.7170
step=   4960 t=  6.489932 dt=1.319458e-03 pmax=45.7979 shock_x=41.8768
step=   4980 t=  6.515898 dt=1.327086e-03 pmax=45.3898 shock_x=42.0463
step=   5000 t=  6.542518 dt=1.334538e-03 pmax=45.1532 shock_x=42.2198
step=   5020 t=  6.569285 dt=1.341653e-03 pmax=45.0067 shock_x=42.3930
step=   5040 t=  6.596186 dt=1.348093e-03 pmax=44.9886 shock_x=42.5640
step=   5060 t=  6.623205 dt=1.353491e-03 pmax=45.3185 shock_x=42.7365
step=   5080 t=  6.650326 dt=1.357868e-03 pmax=45.5269 shock_x=42.9070
step=   5100 t=  6.677499 dt=1.359414e-03 pmax=45.8063 shock_x=43.0825
step=   5120 t=  6.704704 dt=1.361076e-03 pmax=45.9590 shock_x=43.2583
step=   5140 t=  6.731944 dt=1.362822e-03 pmax=46.0277 shock_x=43.4315
step=   5160 t=  6.758186 dt=1.364561e-03 pmax=46.1231 shock_x=43.5988
step=   5180 t=  6.785497 dt=1.366422e-03 pmax=46.2068 shock_x=43.7745
step=   5200 t=  6.812846 dt=1.368357e-03 pmax=46.5674 shock_x=43.9450
step=   5220 t=  6.840234 dt=1.370356e-03 pmax=46.8080 shock_x=44.1200
step=   5240 t=  6.867662 dt=1.372381e-03 pmax=47.0105 shock_x=44.2980
step=   5260 t=  6.895132 dt=1.374500e-03 pmax=47.1573 shock_x=44.4722
step=   5280 t=  6.922645 dt=1.376702e-03 pmax=47.2556 shock_x=44.6455
step=   5300 t=  6.950201 dt=1.378803e-03 pmax=47.3087 shock_x=44.8233
step=   5320 t=  6.977789 dt=1.379920e-03 pmax=47.2862 shock_x=44.9977
step=   5340 t=  7.004143 dt=1.381171e-03 pmax=47.1673 shock_x=45.1645
step=   5360 t=  7.031782 dt=1.382659e-03 pmax=47.0040 shock_x=45.3377
step=   5380 t=  7.059452 dt=1.384282e-03 pmax=46.7713 shock_x=45.5155
step=   5400 t=  7.087155 dt=1.385928e-03 pmax=46.5178 shock_x=45.6940
step=   5420 t=  7.114892 dt=1.387643e-03 pmax=46.2014 shock_x=45.8675
step=   5440 t=  7.142663 dt=1.389354e-03 pmax=45.9018 shock_x=46.0425
step=   5460 t=  7.170468 dt=1.391121e-03 pmax=45.5641 shock_x=46.2205
step=   5480 t=  7.198309 dt=1.392848e-03 pmax=45.2609 shock_x=46.3940
step=   5500 t=  7.226162 dt=1.391707e-03 pmax=44.8841 shock_x=46.5693
step=   5520 t=  7.252780 dt=1.389894e-03 pmax=44.5957 shock_x=46.7430
step=   5540 t=  7.280545 dt=1.387464e-03 pmax=44.2764 shock_x=46.9148
step=   5560 t=  7.308262 dt=1.384892e-03 pmax=43.9635 shock_x=47.0878
step=   5580 t=  7.335932 dt=1.382417e-03 pmax=43.6983 shock_x=47.2657
step=   5600 t=  7.363560 dt=1.380506e-03 pmax=43.4934 shock_x=47.4383
